iter	MAE
0	87484.52188
1	67108.51972
2	53583.86696
3	44470.87503
4	39248.82043
5	35217.96721
6	32718.87514
7	31130.61358
8	30005.46177
9	29101.93298
10	28479.73203
11	27882.38623
12	27250.41271
13	26942.62466
14	26478.21209
15	26133.62124
16	25905.17552
17	25622.83056
18	25406.71857
19	25164.37266
20	24932.63557
21	24816.73004
22	24644.28201
23	24427.38948
24	23911.86373
25	23556.86018
26	23337.69025
27	23162.4584
28	23005.15381
29	22873.45051
30	22538.48941
31	22331.97194
32	21991.29895
33	21815.27687
34	21727.26378
