iter	Passed	Remaining
0	1	1951
1	3	1940
2	6	2013
3	7	1974
4	10	2110
5	13	2162
6	15	2184
7	17	2226
8	20	2271
9	23	2278
10	25	2260
11	27	2234
12	29	2203
13	31	2187
14	33	2181
15	35	2182
16	37	2181
17	39	2170
18	41	2161
19	43	2149
20	45	2130
21	47	2117
22	49	2115
23	51	2095
24	53	2077
25	55	2066
26	57	2057
27	58	2045
28	60	2030
29	63	2049
30	67	2110
31	70	2123
32	72	2127
33	75	2139
34	77	2130
35	79	2117
36	80	2104
37	82	2093
38	84	2081
39	86	2070
40	88	2064
41	91	2078
42	93	2073
43	95	2083
44	98	2096
45	101	2106
46	103	2099
47	105	2094
48	108	2096
49	110	2091
50	112	2086
51	114	2083
52	116	2079
53	118	2073
54	121	2079
55	123	2076
56	125	2078
57	128	2079
58	130	2075
59	132	2069
60	134	2064
61	136	2059
62	138	2056
63	140	2051
64	142	2053
65	144	2044
66	146	2034
