iter	MAE
0	101374.5312
1	87619.18046
2	76989.54735
3	67965.51645
4	60251.52369
5	54445.5338
6	50318.5875
7	47187.12429
8	44152.62031
9	41753.23079
10	39924.62871
11	38668.69267
12	37375.29176
13	36497.8322
14	36035.42367
15	35349.41253
16	34885.52122
17	34687.4998
18	34438.08998
19	34233.24909
20	33966.3825
21	33781.22096
22	33682.19383
23	33569.7739
24	33431.40262
25	33315.01694
26	33242.91664
27	33174.8521
28	33145.59293
29	33017.70593
30	32998.34514
31	32937.87738
32	32893.12645
33	32864.72525
34	32822.89789
35	32798.68532
36	32736.78246
37	32688.9744
38	32660.9417
39	32641.33391
40	32614.49455
41	32569.92306
42	32490.93006
43	32404.44886
44	32368.91283
45	32333.24753
46	32300.28521
47	32273.56755
48	32250.52907
49	32232.49764
50	32198.77077
51	32158.8459
52	32121.7829
53	32087.75078
54	32068.16674
55	32002.5113
56	31985.63135
57	31961.40624
58	31940.83517
59	31888.94001
60	31860.40767
61	31848.10469
62	31807.12318
63	31773.97466
64	31730.28268
65	31716.81254
66	31702.63126
67	31668.66851
68	31657.13278
69	31635.47319
70	31617.96311
71	31591.11017
72	31572.31793
73	31542.46469
74	31409.7699
75	31384.2841
76	31341.5883
77	31302.29273
78	31284.07482
79	31255.35213
80	31233.35764
81	31213.40234
82	31177.58733
83	31126.26185
84	31113.06545
85	31096.06965
86	31079.41095
87	31055.42975
88	31046.51771
89	31018.4994
90	30988.26175
91	30965.28788
92	30867.36997
