iter	Passed	Remaining
0	3	3348
1	5	2987
2	9	3131
3	11	2928
4	14	2867
5	17	2942
6	20	2869
7	22	2821
8	25	2779
9	28	2773
10	30	2737
11	33	2771
12	36	2765
13	39	2764
14	41	2736
15	44	2711
16	46	2713
17	49	2703
18	51	2683
19	54	2674
20	57	2659
21	59	2643
22	62	2660
23	65	2652
24	67	2637
25	69	2618
26	72	2623
27	75	2608
28	77	2607
29	80	2612
30	83	2607
31	86	2609
32	88	2596
33	91	2586
34	93	2580
35	96	2592
36	99	2582
37	101	2569
38	103	2559
39	106	2564
40	109	2559
41	112	2556
42	114	2552
43	117	2544
44	119	2543
45	122	2532
46	124	2521
47	126	2512
48	129	2508
49	131	2499
50	133	2492
51	137	2498
52	139	2489
53	142	2491
54	145	2496
55	148	2499
56	150	2492
57	152	2482
58	155	2481
59	158	2478
60	161	2485
61	164	2484
62	166	2481
63	169	2477
64	171	2471
65	174	2464
66	177	2465
67	180	2471
68	182	2466
69	184	2456
70	187	2450
71	189	2443
72	192	2441
73	195	2445
74	197	2441
75	201	2446
76	203	2440
77	205	2434
78	208	2431
79	211	2428
80	213	2421
81	215	2417
82	218	2410
83	220	2404
84	223	2401
85	225	2399
86	228	2395
87	230	2392
88	233	2386
89	235	2385
90	238	2383
91	241	2383
92	243	2378
