"Temperature (C)","Pressure (kpa)","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
14,1011,3,307,2,"2017-03-18 00:00:00"
14,1011,4,215,2,"2017-03-18 01:00:00"
14,1011,4,123,1,"2017-03-18 02:00:00"
14,1011,4,31,1,"2017-03-18 03:00:00"
14,1011,4,138,1,"2017-03-18 04:00:00"
16,1012,5,245,2,"2017-03-18 05:00:00"
16,1012,5,352,2,"2017-03-18 06:00:00"
18,1013,5,320,3,"2017-03-18 07:00:00"
18,1013,5,288,3,"2017-03-18 08:00:00"
20,1013,4,256,4,"2017-03-18 09:00:00"
20,1012,4,263,7,"2017-03-18 10:00:00"
20,1011,4,271,10,"2017-03-18 11:00:00"
20,1011,4,278,13,"2017-03-18 12:00:00"
20,1010,5,280,11,"2017-03-18 13:00:00"
20,1010,5,283,10,"2017-03-18 14:00:00"
18,1010,5,285,9,"2017-03-18 15:00:00"
18,1010,5,284,9,"2017-03-18 16:00:00"
16,1010,5,283,8,"2017-03-18 17:00:00"
14,1011,5,283,8,"2017-03-18 18:00:00"
14,1011,6,288,8,"2017-03-18 19:00:00"
14,1011,6,293,7,"2017-03-18 20:00:00"
12,1012,7,298,7,"2017-03-18 21:00:00"
12,1011,7,317,6,"2017-03-18 22:00:00"
12,1011,7,335,5,"2017-03-18 23:00:00"
12,1010,7,354,4,"2017-03-19 00:00:00"
12,1011,7,250,3,"2017-03-19 01:00:00"
10,1011,6,147,3,"2017-03-19 02:00:00"
10,1011,6,44,3,"2017-03-19 03:00:00"
12,1011,6,36,3,"2017-03-19 04:00:00"
14,1012,5,28,3,"2017-03-19 05:00:00"
16,1012,5,20,4,"2017-03-19 06:00:00"
18,1012,5,109,5,"2017-03-19 07:00:00"
22,1012,5,198,6,"2017-03-19 08:00:00"
24,1012,5,287,7,"2017-03-19 09:00:00"
24,1011,5,286,11,"2017-03-19 10:00:00"
24,1010,5,284,14,"2017-03-19 11:00:00"
24,1010,4,282,17,"2017-03-19 12:00:00"
24,1009,5,285,15,"2017-03-19 13:00:00"
22,1009,5,288,14,"2017-03-19 14:00:00"
22,1009,5,291,12,"2017-03-19 15:00:00"
20,1009,5,283,10,"2017-03-19 16:00:00"
16,1010,4,275,9,"2017-03-19 17:00:00"
14,1010,3,268,8,"2017-03-19 18:00:00"
14,1010,2,256,7,"2017-03-19 19:00:00"
14,1011,1,245,7,"2017-03-19 20:00:00"
12,1011,0,234,6,"2017-03-19 21:00:00"
12,1011,0,254,6,"2017-03-19 22:00:00"
12,1010,0,274,7,"2017-03-19 23:00:00"
12,1010,0,295,7,"2017-03-20 00:00:00"
10,1010,0,202,6,"2017-03-20 01:00:00"
10,1010,0,109,5,"2017-03-20 02:00:00"
10,1010,0,17,5,"2017-03-20 03:00:00"
12,1011,0,23,5,"2017-03-20 04:00:00"
14,1011,0,30,5,"2017-03-20 05:00:00"
16,1012,0,37,5,"2017-03-20 06:00:00"
18,1012,0,120,5,"2017-03-20 07:00:00"
22,1012,0,203,5,"2017-03-20 08:00:00"
24,1012,0,287,5,"2017-03-20 09:00:00"
24,1011,0,280,9,"2017-03-20 10:00:00"
24,1011,0,274,13,"2017-03-20 11:00:00"
26,1010,0,267,17,"2017-03-20 12:00:00"
24,1010,0,261,15,"2017-03-20 13:00:00"
22,1010,0,255,13,"2017-03-20 14:00:00"
20,1010,0,248,11,"2017-03-20 15:00:00"
18,1010,0,245,10,"2017-03-20 16:00:00"
16,1011,0,242,8,"2017-03-20 17:00:00"
14,1011,0,239,6,"2017-03-20 18:00:00"
14,1011,0,229,7,"2017-03-20 19:00:00"
14,1011,0,219,7,"2017-03-20 20:00:00"
12,1012,0,209,7,"2017-03-20 21:00:00"
12,1011,0,216,6,"2017-03-20 22:00:00"
12,1011,0,223,5,"2017-03-20 23:00:00"
12,1011,0,231,5,"2017-03-21 00:00:00"
10,1011,1,202,4,"2017-03-21 01:00:00"
10,1011,2,173,3,"2017-03-21 02:00:00"
10,1011,4,144,2,"2017-03-21 03:00:00"
12,1011,2,143,2,"2017-03-21 04:00:00"
14,1012,1,141,3,"2017-03-21 05:00:00"
16,1012,0,140,3,"2017-03-21 06:00:00"
18,1012,0,176,4,"2017-03-21 07:00:00"
20,1012,0,212,6,"2017-03-21 08:00:00"
24,1012,0,248,8,"2017-03-21 09:00:00"
24,1012,0,251,11,"2017-03-21 10:00:00"
24,1011,0,254,15,"2017-03-21 11:00:00"
24,1010,0,257,18,"2017-03-21 12:00:00"
22,1010,0,254,16,"2017-03-21 13:00:00"
22,1010,0,251,15,"2017-03-21 14:00:00"
20,1010,0,248,13,"2017-03-21 15:00:00"
18,1011,0,243,12,"2017-03-21 16:00:00"
16,1011,0,239,11,"2017-03-21 17:00:00"
14,1012,0,235,10,"2017-03-21 18:00:00"
14,1012,32,226,8,"2017-03-21 19:00:00"
14,1012,63,216,7,"2017-03-21 20:00:00"
14,1012,95,207,5,"2017-03-21 21:00:00"
14,1012,83,201,6,"2017-03-21 22:00:00"
14,1011,72,194,6,"2017-03-21 23:00:00"
12,1011,61,188,7,"2017-03-22 00:00:00"
12,1011,61,178,7,"2017-03-22 01:00:00"
12,1010,61,168,7,"2017-03-22 02:00:00"
12,1010,61,158,7,"2017-03-22 03:00:00"
12,1011,48,161,7,"2017-03-22 04:00:00"
14,1011,34,164,7,"2017-03-22 05:00:00"
14,1011,20,167,8,"2017-03-22 06:00:00"
18,1012,14,193,8,"2017-03-22 07:00:00"
20,1012,7,219,8,"2017-03-22 08:00:00"
22,1012,0,246,9,"2017-03-22 09:00:00"
22,1011,0,251,12,"2017-03-22 10:00:00"
24,1010,0,257,15,"2017-03-22 11:00:00"
24,1010,0,263,18,"2017-03-22 12:00:00"
22,1009,0,260,16,"2017-03-22 13:00:00"
20,1009,0,257,14,"2017-03-22 14:00:00"
20,1009,0,254,12,"2017-03-22 15:00:00"
18,1009,0,245,11,"2017-03-22 16:00:00"
16,1010,0,235,10,"2017-03-22 17:00:00"
14,1010,0,225,9,"2017-03-22 18:00:00"
14,1011,22,208,9,"2017-03-22 19:00:00"
14,1011,45,192,8,"2017-03-22 20:00:00"
12,1011,67,175,8,"2017-03-22 21:00:00"
12,1011,67,180,9,"2017-03-22 22:00:00"
12,1010,67,185,10,"2017-03-22 23:00:00"
12,1010,66,190,10,"2017-03-23 00:00:00"
12,1010,68,184,10,"2017-03-23 01:00:00"
12,1010,70,179,9,"2017-03-23 02:00:00"
12,1010,72,174,9,"2017-03-23 03:00:00"
12,1010,58,169,9,"2017-03-23 04:00:00"
14,1010,44,164,9,"2017-03-23 05:00:00"
14,1011,30,159,9,"2017-03-23 06:00:00"
18,1011,20,183,9,"2017-03-23 07:00:00"
20,1011,10,208,8,"2017-03-23 08:00:00"
22,1011,0,233,8,"2017-03-23 09:00:00"
24,1010,0,243,12,"2017-03-23 10:00:00"
24,1010,0,252,15,"2017-03-23 11:00:00"
24,1009,0,262,18,"2017-03-23 12:00:00"
22,1009,0,270,16,"2017-03-23 13:00:00"
20,1009,0,279,14,"2017-03-23 14:00:00"
20,1008,0,287,13,"2017-03-23 15:00:00"
18,1009,0,287,11,"2017-03-23 16:00:00"
16,1010,0,288,9,"2017-03-23 17:00:00"
14,1010,0,288,8,"2017-03-23 18:00:00"
12,1010,0,285,6,"2017-03-23 19:00:00"
12,1011,0,281,5,"2017-03-23 20:00:00"
12,1011,0,278,4,"2017-03-23 21:00:00"
12,1011,0,281,4,"2017-03-23 22:00:00"
10,1010,0,284,5,"2017-03-23 23:00:00"
10,1010,0,286,5,"2017-03-24 00:00:00"
10,1010,25,304,5,"2017-03-24 01:00:00"
10,1010,51,322,5,"2017-03-24 02:00:00"
10,1011,76,340,5,"2017-03-24 03:00:00"
10,1011,59,344,7,"2017-03-24 04:00:00"
12,1012,43,347,9,"2017-03-24 05:00:00"
14,1012,26,351,10,"2017-03-24 06:00:00"
16,1012,17,338,10,"2017-03-24 07:00:00"
18,1012,9,325,11,"2017-03-24 08:00:00"
22,1012,0,312,11,"2017-03-24 09:00:00"
22,1011,0,308,14,"2017-03-24 10:00:00"
22,1011,0,303,17,"2017-03-24 11:00:00"
24,1010,0,298,19,"2017-03-24 12:00:00"
22,1010,0,302,18,"2017-03-24 13:00:00"
20,1010,0,306,16,"2017-03-24 14:00:00"
20,1010,0,310,14,"2017-03-24 15:00:00"
18,1010,0,310,13,"2017-03-24 16:00:00"
14,1010,0,311,12,"2017-03-24 17:00:00"
12,1011,0,311,10,"2017-03-24 18:00:00"
12,1011,0,311,10,"2017-03-24 19:00:00"
12,1011,0,311,9,"2017-03-24 20:00:00"
10,1011,0,311,9,"2017-03-24 21:00:00"
10,1011,0,316,9,"2017-03-24 22:00:00"
10,1011,0,322,9,"2017-03-24 23:00:00"
8,1010,0,328,10,"2017-03-25 00:00:00"
