iter	Passed	Remaining
0	6	6161
1	12	6155
2	18	6241
3	24	6162
4	31	6188
5	37	6184
6	43	6202
7	50	6213
8	56	6181
9	62	6182
10	68	6179
11	75	6176
12	80	6146
13	87	6138
14	93	6132
15	99	6145
16	106	6153
17	112	6163
18	119	6157
19	125	6147
20	131	6135
21	137	6124
22	145	6174
23	151	6175
24	157	6161
25	164	6154
26	170	6144
27	176	6132
28	182	6121
29	189	6117
30	196	6127
31	202	6127
32	208	6113
33	214	6104
34	220	6088
35	227	6089
36	233	6080
37	240	6082
38	246	6080
39	253	6080
40	259	6074
41	265	6064
42	272	6059
43	278	6054
44	285	6049
45	291	6040
46	297	6034
47	303	6026
48	310	6021
49	316	6017
50	323	6011
51	329	6010
52	335	6002
53	342	5997
54	348	5991
55	354	5982
